,precision,recall,f1-score,support
call,0.9862068965517241,0.959731543624161,0.9727891156462585,149.0
rock,0.9079365079365079,0.9761092150170648,0.9407894736842105,293.0
like,0.9370629370629371,0.9781021897810219,0.9571428571428572,137.0
ok,0.993103448275862,0.9795918367346939,0.9863013698630136,147.0
one,0.8966942148760331,0.9475982532751092,0.921443736730361,229.0
one_down,0.9818181818181818,0.9432314410480349,0.9621380846325167,229.0
one_left,0.9864864864864865,0.9563318777292577,0.9711751662971175,229.0
one_right,0.9908675799086758,0.9475982532751092,0.96875,229.0
palm,0.9857142857142858,0.971830985915493,0.9787234042553191,142.0
peace,0.9781021897810219,0.9370629370629371,0.9571428571428572,143.0
dorsal_hand,0.9884259259259259,1.0,0.9941792782305006,427.0
fist,0.9056603773584906,0.9056603773584906,0.9056603773584906,159.0
zoom_in,0.907103825136612,0.9940119760479041,0.9485714285714286,167.0
zoom_out,0.8088235294117647,0.7857142857142857,0.7971014492753623,70.0
no_gesture,0.896551724137931,0.7878787878787878,0.8387096774193549,165.0
accuracy,0.9502572898799314,0.9502572898799314,0.9502572898799314,0.9502572898799314
macro avg,0.9433705406921628,0.9380302640308235,0.9400412184166431,2915.0
weighted avg,0.9510327293835769,0.9502572898799314,0.9500017830423138,2915.0
